name,price,region,wine_type,varietal,country,merchant,address
14 Hands Cabernet Sauvignon,10.99,Washington,Red Wine,Cabernet Sauvignon,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
14 Hands Merlot,10.99,Washington,Red Wine,Merlot,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
90+ Cellars Lot 10 Stags Leap Cabernet Sauvignon ,44.99,Napa Valley,Red Wine,Cabernet Sauvignon,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
90+ Cellars Lot 113 Big Red Blend ,9.99,Cabernet Franc,Red Wine,Cabernet Sauvignon,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
90+ Cellars Lot 127 Cabernet Sauvignon Carmenere ,9.99,Chile,Red Wine,Cabernet Sauvignon,Chile,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
90+ Cellars Lot 143 Cotes Du Rhone ,9.99,France,Red Wine,Syrah,France,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
90+ Cellars Lot 144 Chianti Reserva ,9.99,Tuscany,Red Wine,Sangiovese,Italy,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
90+ Cellars Lot 155 Sonoma County Zinfandel ,9.99,Sonoma County,Red Wine,Zinfandel,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
90+ Cellars Lot 156 Margaret River Shiraz,9.99,Western Australia,Red Wine,Shiraz,Australia,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
90+ Cellars Lot 158 Beaujolais ,9.99,Beaujolais,Red Wine,Gamay,France,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
90+ Cellars Lot 161 Bordeaux ,9.99,Cabernet Franc,Red Wine,Cabernet Sauvignon,France,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
90+ Cellars Lot 179 Pinot Noir ,9.99,90+ Cellars,Red Wine,Pinot Noir,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
