name,price,region,wine_type,varietal,country,merchant,address
14 Hands Chardonnay,10.99,Washington,White Wine,Chardonnay,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
90+ Cellars Lot 130 Chardonnay ,16.99,Sonoma County,White Wine,Chardonnay,California,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
90+ Cellars Lot 152 Chardonnay ,9.99,90+ Cellars,White Wine,Chardonnay,California,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
90+ Cellars Lot 153 Sauvignon Blanc Vin Du France,9.99,90+ Cellars,White Wine,Sauvignon Blanc,France,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
90+ Cellars Lot 166 Sauvignon Blanc ,9.99,90+ Cellars,White Wine,Sauvignon Blanc,California,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
90+ Cellars Lot 2 Sauvignon Blanc ,9.99,Marlborough,White Wine,Sauvignon Blanc,New Zealand,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
90+ Cellars Lot 42 Pinot Grigio ,9.99,Trentino-Alto Adige,White Wine,Pinot Grigio,Italy,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
90+ Cellars Lot 66 Riesling ,9.99,Mosel,White Wine,Riesling,Germany,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Alba Vineyard Riesling,13.99,New Jersey,White Wine,Riesling,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Bliss Chardonnay,12.99,North Coast,White Wine,Chardonnay,California,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Bliss Sauvignon Blanc,12.99,North Coast,White Wine,Sauvignon Blanc,California,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Bogle Chardonnay ,10.99,Bogle,White Wine,Chardonnay,California,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Concha y Toro Casillero Del Diablo Sauvignon Blanc ,9.99,Concha y Toro,White Wine,Chile,Casablanca Valley,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Concha y Toro Casillero del Diablo Chardonnay ,9.99,Valle Central,White Wine,Chardonnay,Chile,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Cupcake Chardonnay,9.99,Central Coast,White Wine,Chardonnay,California,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Cupcake Pinot Grigio,9.99,Veneto,White Wine,Pinot Grigio,Italy,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Cupcake Sauvignon Blanc,9.99,Marlborough,White Wine,Sauvignon Blanc,New Zealand,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Gnarly Head Chardonnay,9.99,Central Coast,White Wine,Chardonnay,California,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Gnarly Head Pinot Grigio,9.99,Central Valley,White Wine,Pinot Grigio,California,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Kim Crawford Sauvignon Blanc,13.99,Marlborough,White Wine,Sauvignon Blanc,New Zealand,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Nobilo Regional Collection Sauvignon Blanc,11.99,Marlborough,White Wine,Sauvignon Blanc,New Zealand,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Santa Martina Pinot Grigio,9.99,Veneto,White Wine,Pinot Grigio,Italy,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Sterling Vintner's Collection Pinot Grigio,10.99,Central Coast,White Wine,Pinot Grigio,California,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Sterling Vintner's Collection Sauvignon Blanc,10.99,Central Coast,White Wine,Sauvignon Blanc,California,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Valenzano Shamong White,9.99,New Jersey,White Wine,Niagara,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
