wine_id,name,varietal,price,description,Region_Id
0,Angels Landing Cabernet Sauvignon,Cabernet Sauvignon,22.99,"This Cabernet has it all. Ripe dark fruit, structure, balance and elegance. That's a rare combination that makes Angels Landing Cabernet one of our favorite Napa Cabs. Rich blackberry and cherry fruit, leads to notes of spice and chocolate and finishes with a touch of sweet oak. There's also a freshness here that just adds to its overall excellence and makes it a perfect Cabernet for pairing with food.",744
1,Angels Landing Merlot Napa,Merlot,16.99,"A rich mix of black fruit, hints of dark chocolate, spices, cassis, and toasty oak on the finish. A perfect companion to red meats, aged cheeses and salmon, or sushi grade tuna steaks",744
2,Antale Veneto Rosso,Corvina,11.99,"Producing every style of wine and with great success, the Veneto is one of the most multi-faceted wine destinations in Italy. The Antale has a deep ruby red color and flavors of plum and currants with a hint of cocoa on the soft and elegant finish. Pair it with a rich and over the top pasta, Cin Cin!",481
3,Articulate Cabernet Sauvignon Walla Walla,Cabernet Sauvignon,14.99,na,777
4,Baus Family Cabernet Sauvignon Private Reserve,Cabernet Sauvignon,16.99,"A full-bodied and rich Cabernet, this wine is dark ruby in color, with lifted aromas of dark fruit, tobacco, vanilla and spice. Packed with intense flavors of black cherries, black plums and blackberries intermingled with complex notes of clove, cocoa and earth  on the palate. The fruit is beautifully balanced with a smooth, luxurious, oaky finish of sweet vanilla, spice and toast. Serve with grilled lamb chops or braised short ribs.",711
5,Baus Family Vineyards Chardonnay,Chardonnay,14.99,na,711
6,Bear Path Napa Valley Cabernet Sauvignon,"Cabernet Sauvignon, Merlot, Petit Verdot, Cabernet Franc",19.99,na,747
7,Bodegas As Laxas Ferrum Albarino,Albarino,14.99,na,665
8,Borgo San Leo Prosecco Brut,"Sparkling, Prosecco",15.99,na,438
9,Briar Hill Pinot Noir Santa Barbara County,Pinot Noir,19.99,"Briar Hill wines pay homage to the briar-covered hillsides of chaparral that frame the vineyards of Santa Barbara County. Find rich notes of plum, black cherry, and bittersweet chocolate layered over silky tannins on this fine selections. Recommended with oven-baked salmon or mushroom & truffle pasta.",761
10,Bulliat Beaujolais Nouveau,na,12.99,"A deep purple with subdued aromas of strawberry and banana typical of Nouveau.  In this case, they are restrained in the flavors as well, and the result is a Nouveau that tastes more like wine than candy.",298
11,Casa Dora Cava Brut NV,"Sparkling, Macabeo, Parellada, Cava, Xarel Lo",9.99,"Casa Dora Cava is crisp and refreshing with fine and elegant bubbles that gracefully frame the citrus, green apple and biscotti aromas and flavors. Enjoy with appetizers, fish, chicken, pork, or on its own. Also ideal for celebrations, mixed with orange juice for a mimosa, or mixed with cassis for a Kir Royal.",651
12,Chateau Briot Rouge Bordeaux Reserve,Merlot,15.99,na,125
13,Chateaux Canteloudette Entre Deux Mers,"Bordeaux, Semillon, Sauvignon Blanc",12.99,na,187
14,Curran Creek Chardonnay,Chardonnay,6.99,na,782
15,Delatour Cabernet Sauvignon Cuvee Premier,Cabernet Sauvignon,7.99,na,274
